,Team,Player,Mouse,DPI,X-Axis Sens,Y-Axis Sens,Targeting Sens,Scope Sens,Monitor,Resolution,Mousepad,Keyboard,Headset,Chair
,Free Agent,Kovaak,Razer Viper V3 Pro Black,800,10.1%,10.1%,41.0%,46.0%,ZOWIE XL2546K,1920x1080,Artisan FX Hien Soft Black,Razer Huntsman V3 Pro Mini Black,Razer BlackShark V2 Pro Black,
,Free Agent,Stormyrite,Logitech G Pro X Superlight Black,800,7.5%,7.5%,55.0%,54.0%,ZOWIE XL2546K,1920x1080,ZOWIE G-SR-SE Bi,Wooting 80HE Black,HyperX Cloud II Wireless,
,Free Agent,Tkay,,,,,,,ZOWIE XL2566K,1920x1080,,,HyperX Cloud Alpha,
,Free Agent,Arrow,Razer Viper V3 Hyperspeed,800,4.8%,4.8%,50.0%,50.0%,ASUS TUF VG279QM,1920x1080,Corsair MM250,Wooting 80HE Black,HyperX Cloud III,
,Free Agent,Pxlarized,Logitech G Pro X Superlight 2 Black,800,4.6%,4.6%,30.0%,30.0%,Acer Nitro XV252QF,1920x1080,Lethal Gaming Gear Jupiter,SteelSeries Apex Pro Mini Black,beyerdynamic DT 990 Pro,
,Free Agent,Rezon ay,,1600,2.9%,2.9%,34.4%,36.4%,Alienware AW2523HF,1920x1080,Custom Mousepad,Custom Keyboard,HyperX Cloud Alpha,
,Free Agent,Mikson,Razer Viper V3 Pro Black,800,8.5%,8.5%,30.0%,39.0%,Alienware AW2521HF,1720x1080,Inked Gaming Custom Mousepad,SteelSeries Apex Pro Mini Gen 3,beyerdynamic MMX 300,IKEA Markus
,Free Agent,Gabzera,Logitech G Pro X Superlight 2 Black,1600,2.5%,2.5%,40.0%,40.0%,Alienware AW2725DF,2560x1440,Artisan FX Hien Soft Black,Wooting 80HE Black,beyerdynamic DT 900 Pro X,
,Free Agent,artskill,Logitech G Pro X Superlight 2 Black,1600,3.4%,3.4%,40.0%,40.0%,ASUS ROG SWIFT PG259QN,1920x1080,Artisan FX Hien Soft Black,Wooting 60HE+,beyerdynamic DT 990 Pro,
,Free Agent,Okis,,,,,,,Alienware AW2523HF,1920x1080,Razer Gigantus V2,SteelSeries Apex Pro Mini Black,Razer Kraken V3 Pro,Secretlab Titan EVO 2022
,Free Agent,Fnajen,Razer Viper V2 Pro Black,800,6.0%,6.0%,50.0%,45.0%,Omen X25F,1920x1080,Artisan Ninja FX Zero Soft Black,Wooting 60HE+,Logitech G PRO X 2 Headset Black,
,Free Agent,Felipersa,Razer DeathAdder V3,3850,1.0%,1.0%,75.3%,75.3%,,1920x1080,,SteelSeries Apex Pro Mini Black,beyerdynamic DT 990 Pro,Secretlab x Team Liquid Gaming Chair
,Free Agent,Sandrinho,Razer Viper V3 Pro Black,800,6.0%,6.0%,50.0%,50.0%,,1720x1080,SkyPAD 3.0,Wooting 60HE+,Corsair HS80 MAX,
,Free Agent,Mojak,Razer Viper V3 Pro White,800,5.6%,5.6%,27.0%,30.0%,ZOWIE XL2546,1920x1080,Razer Strider,Wooting 80HE Black,Razer BlackShark V2 Pro Black,
,Free Agent,Vaske1x,Logitech G Pro X Superlight 2 Black,800,8.0%,8.0%,40.0%,40.0%,Alienware AW2723DF,1720x1080,Razer Gigantus V2,SteelSeries Apex Pro TKL Gen 3 Black,HyperX Cloud II,
,Free Agent,npen,Flick Fire,1600,5.00%,3%,30.00%,30.00%,Samsung Odyssey G6,1920x1080,Artisan Ninja FX Zero Soft Black,SteelSeries Apex Pro TKL Gen 3 Black,beyerdynamic DT 990 Pro,
,Free Agent,K1NG,WLMouse BEAST X Black,800,9.4%,9.4%,25.1%,25.1%,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft Black,SteelSeries Apex Pro Mini Black,Logitech G Pro X Headset,
,Free Agent,Malibuca,Logitech G Pro X Superlight 2 Black,1600,4.0%,4.0%,50.1%,50.1%,ASUS TUF VG259QM,1920x1080,Artisan Hayate Otsu XSoft Black,SteelSeries Apex Pro TKL (2023),Logitech G PRO X 2 Headset Black,
,Free Agent,Kyry,Razer DeathAdder V3 HyperSpeed,1600,4.0%,4.0%,55.1%,55.1%,ZOWIE XL2566K,1920x1080,Artisan Key-83 Soft,Wooting 80HE Black,,
,Free Agent,Tilt,Razer Viper V3 Pro Black,,,,,,Acer Predator XB252Q,1920x1080,,Razer Huntsman V3 Pro Mini Black,Razer BlackShark V2 Pro White,
,Free Agent,Asa,Logitech G Pro X Superlight Black,800,6.0%,6.0%,35.0%,35.0%,Alienware AW2724HF,1920x1080,,Wooting 80HE Black,JBL Quantum One,
,Free Agent,Mappi,Logitech G Pro X Superlight 2 Black,1600,3.0%,3.0%,50.0%,50.0%,,1920x1080,Artisan Ninja FX Zero Soft Black,Wooting 80HE Ghost,beyerdynamic DT 990 Pro,
,Free Agent,Setty,Razer Viper Mini Signature Edition,800,7.0%,7.0%,45.0%,45.0%,ZOWIE XL2566K,1920x1080,Artisan FX Hien Soft Black,SteelSeries Apex Pro Mini Gen 3,Sennheiser HD 660S,Herman Miller Embody
,Free Agent,L0WK3Y,Finalmouse Ultralight X Medium,800,5.9%,5.9%,30.0%,30.0%,ZOWIE XL2546K,1920x1080,Artisan FX Hien Soft Black,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro Black,
,Free Agent,nickzrr,Razer Viper Mini Signature Edition,1600,7.0%,7.0%,36.0%,36.0%,,1720x1080,Artisan FX Hien Mid Black,Corsair K70 PRO TKL,,
,Free Agent,1LUSHA,Razer Viper V3 Pro Black,1600,7.3%,7.3%,28.9%,28.9%,ASUS ROG SWIFT PG259QN,1920x1080,Artisan Ninja FX Zero Soft Black,Wooting 80HE Black,HyperX Cloud Alpha S,
,Free Agent,27twi,Logitech G Pro X Superlight Black,600,6.0%,6.0%,40.0%,40.0%,Alienware AW2521HF,1920x1080,Argonpads SWIFT,Wooting 80HE Frost,HyperX Cloud II,
,Free Agent,KramSu,Razer Viper V3 Pro Black,1600,33.6%,33.4%,4.6%,4.6%,ASUS TUF VG259QM,1720x1080,,SteelSeries Apex Pro TKL (2023),HyperX Cloud Flight,
,Free Agent,Oatley,Razer Viper V2 Pro Black,800,6.0%,6.0%,60.0%,60.0%,ASUS ROG SWIFT PG258Q,1920x1080,Inked Gaming Custom Mousepad,SteelSeries Apex Pro Mini Gen 3,beyerdynamic DT 990 Pro,
,Free Agent,Ardi,Razer Viper V3 Pro Black,1600,3.3%,3.3%,0.45%,0.45%,ZOWIE XL2566K,1920x1080,Artisan FX Hien XSoft Black,Wooting 80HE Ghost,beyerdynamic DT 990 Pro,
,Free Agent,Ajerss,Logitech G Pro X Superlight Black,800,6.6%,6.6%,30.0%,30.0%,ZOWIE XL2586X,1920x1080,Artisan Ninja FX Zero Soft Black,Wooting 60HE+,HyperX Cloud III,
,Free Agent,Phzin,Razer Viper V3 Pro Black,800,6.5%,6.5%,45.3%,45.3%,Alienware AW2523HF,,Razer Strider,Razer Huntsman V3 Pro Mini Black,Razer BlackShark V2 Pro Black,
,Free Agent,Bugha,Razer Viper V3 Pro Black,800,6.4%,6.4%,45.0%,45.0%,Alienware AW2521H,1920x1080,ZOWIE G-SR-SE Deep Blue,SteelSeries Apex Pro TKL (2023),EPOS PC38X,Logitech G x Herman Miller Embody
,Free Agent,P1NG,Razer DeathAdder V3 Pro Faker Edition,800,5.0%,5.0%,36.9%,36.9%,ZOWIE XL2566X+,1920x1080,Argonpads Topography Speed,Wooting 80HE Black,beyerdynamic MMX 300,
,Free Agent,Noahreyli,Logitech G Pro X Superlight 2 Black,800,4.4%,4.4%,50.0%,50.0%,ZOWIE XL2566K,1720x1080,Artisan Ninja FX Zero Soft Black,SteelSeries Apex Pro Mini Black,Logitech G Pro X Headset,
,Content Creator,Sceptic,Finalmouse Ultralight 2,800,8.5%,8.5%,50.0%,50.0%,Alienware AW2518H,1920x1080,ESPTIGER LongTeng,Razer Huntsman Mini,HyperX Cloud Flight,
,Content Creator,jacobbb,,,,,,,Alienware AW2518H,1920x1080,,,SteelSeries Arctis Pro,
,Content Creator,Milan,Finalmouse Ultralight 2,800,8.8%,8.8%,40.0%,60.0%,Alienware AW2518H,1920x1080,Glorious 3XL,SteelSeries Apex Pro TKL,Corsair Void Pro,
,Content Creator,Pate1k,Logitech G Pro X Superlight Black,800,6.3%,6.3%,40.0%,40.0%,ZOWIE XL2546,1600x900,Artisan Raiden FX Mid,,HyperX Cloud Alpha,
,Content Creator,Marz,Razer DeathAdder Elite,800,8.5%,8.5%,75.0%,75.0%,Alienware AW2518H,1920x1080,,Corsair K95 RGB PLATINUM,,
,Content Creator,Jamside,Logitech G502 Wireless,800,7.3%,7.3%,49.9%,49.9%,GIGABYTE AORUS KD25F,1600x900,HyperX Fury S Pro XL,SteelSeries Apex Pro TKL,HyperX Cloud Flight,
,Content Creator,Animal,FinalMouse Air58 Ninja CBR,400,12.5%,12.5%,50.0%,50.0%,Alienware AW2518H,1920x1080,Glorious 3XL,Razer Huntsman TE,HyperX Cloud II,
,Content Creator,Dakotaz,Logitech G502 HERO,2400,6.7%,6.7%,100.0%,99%,ASUS ROG SWIFT PG258Q,1920x1080,Logitech G640 TSM Edition,Logitech G Pro Keyboard,ASTRO A50,
,Content Creator,Skram,Razer Viper Ultimate,800,5.8%,5.8%,50.0%,50.0%,AlienWare AW2518HF,1920x1080,Glorious 3XL,Razer Huntsman Mini,HyperX Cloud Alpha,
,Content Creator,Sharshock,Logitech G Pro X Superlight Black,800,7.0%,7.0%,60.0%,45.0%,ASUS MG248QR,,,,,
,Content Creator,Jur3ky,Logitech G Pro X Superlight Black,2000,4.0%,4.0%,50.0%,50.0%,ASUS ROG STRIX XG248Q,1920x1080,Artisan FX Hien Mid Black,SteelSeries Apex Pro TKL,beyerdynamic DT 990 Pro,
,Content Creator,Kiryache32,Logitech G Pro X Superlight Black,800,8%,8%,72.0%,72.0%,ZOWIE XL2546,1920x1080,Glorious 3XL,SteelSeries Apex Pro TKL,HyperX Cloud II,
,Content Creator,clarityG,Logitech G Pro X Superlight Black,800,6.3%,6.3%,40.0%,40.0%,Alienware AW2518H,1920x1080,ZOWIE G-SR-SE Deep Blue,SteelSeries Apex Pro TKL,HyperX Cloud II,
,Content Creator,Avxry,FinalMouse Ultralight Phantom,800,7.3%,7.3%,52.3%,84.9%,ASUS VG248QE,1920x1080,,Varmilo VA87M Summit,,
,Content Creator,Tfue,FinalMouse Starlight Pro,400,7.1%,7.1%,50.0%,50.0%,ZOWIE XL2546,1920x1080,Artisan FX Hien Soft Black,Custom Keyboard,Sennheiser HD800 S,Herman Miller Embody
,Content Creator,Kinstaar,Razer Viper V2 Pro Black,400,14.0%,12.0%,30.0%,54.0%,Acer Predator XB241H,1920x1080,SkyPAD 3.0,Logitech G Pro X Keyboard,Razer BlackShark V2 Pro Black,
,Content Creator,Punisher,Logitech G Pro X Superlight Black,800,13.0%,13.0%,35.0%,34%,ZOWIE XL2546,1920x1080,Logitech G640 Original,Logitech G Pro Keyboard,beyerdynamic DT 990 Pro,
,Content Creator,Stretch,FinalMouse Ultralight Phantom,400,12.6%,12.6%,45.0%,45.0%,Alienware AW2518H,1920x1080,ZOWIE G-SR-SE Deep Blue,SteelSeries Apex Pro TKL,SteelSeries Arctis Pro Wireless,
,Content Creator,72hrs,ZOWIE S2 Divina Pink,400,13.0%,13.0%,20.0%,20.0%,Alienware AW2518H,1920x1080,Glorious 3XL,SteelSeries Apex Pro TKL,HyperX Cloud Earbuds,Herman Miller Embody
,Content Creator,itsJerian,Logitech G Pro X Superlight Magenta,800,6.2%,6.2%,35.0%,32.5%,Alienware AW2521H,1920x1080,The Mousepad Company Strata Liquid 03,Wooting 60HE+,HyperX Cloud Alpha,
,Content Creator,McCreamy,Razer DeathAdder Elite,400,13.0%,13.0%,45.0%,45.0%,ZOWIE XL2540,1920x1080,Logitech G640 Original,Corsair STRAFE,Logitech G933,
,Content Creator,KenBeans,Logitech G Pro X Superlight Black,1600,3.5%,3.5%,40%,40%,Alienware AW2521HF,1920x1080,4114 Fragment Aero,Wooting 60HE+,Sennheiser HD 599,
,Content Creator,Megga,SteelSeries Rival 3,1600,2.5%,2.5%,40.0%,43.7%,Alienware AW2518H,1920x1080,HyperX Fury S Speed Edition,SteelSeries Apex Pro TKL,SteelSeries Arctis 1 Wireless,
,Content Creator,MehDitDonc,Razer Viper V2 Pro Black,800,7.5%,7.5%,50.0%,50.0%,AOC C27G2ZE,1920x1080,SkyPAD 3.0,Wooting 60HE+,Logitech G Pro X Headset,
,Content Creator,DrLupo,Logitech G Pro X Superlight Black,800,7.0%,7.0%,50.0%,49%,ASUS ROG SWIFT PG279QM,1920x1080,Logitech G PowerPlay,Logitech G Pro Keyboard,Logitech G Pro X Headset,
,Content Creator,aqua,Logitech G Pro X Superlight Black,800,5.8%,5.8%,26.9%,31.0%,Alienware AW2518H,1920x1080,Argonpads Topography Speed,Wooting 60HE+,HyperX Cloud II,
,Content Creator,FadedPigeon47,Razer Viper V3 Pro Black,1600,3.2%,3.2%,27.1%,27.1%,Alienware AW2523HF,1920x1080,,SteelSeries Apex Pro TKL (2023),Razer BlackShark V2 Pro Black,
,Content Creator,Typical Gamer,Logitech G Pro X Superlight Black,800,7.0%,7.0%,40.0%,40.0%,Alienware AW2518H,1920x1080,Razer Gigantus V2,SteelSeries Apex Pro,beyerdynamic DT 1990 PRO,Herman Miller Aeron
,Content Creator,Kamo,,,,,,,ASUS ROG SWIFT PG258Q,1920x1080,,,SteelSeries Arctis Pro Wireless,Logitech G x Herman Miller Embody
,Content Creator,Aydan,,,,,,,Alienware AW2518H,1920x1080,,,ASTRO A40,Herman Miller Embody
,Content Creator,Reverse2k,FinalMouse Air58 Ninja CBR,800,11.2%,9.5%,23.2%,28.4%,Alienware AW2518H,1920x1080,Logitech G640 Original,SteelSeries Apex Pro TKL,Logitech G Pro X Headset,Logitech G x Herman Miller Embody
,Content Creator,Zayt,ZOWIE FK1+-B Divina Pink,800,3.3%,3.3%,60.0%,60.0%,Alienware AW2521H,1920x1080,ZOWIE G-SR-SE Blue,Ducky One 2 Mini,beyerdynamic DT 990 Pro,Logitech G x Herman Miller Embody
,Content Creator,Kreo,Razer Viper Ultimate,800,7.5%,7.5%,60.4%,74.7%,ASUS ROG SWIFT PG258Q,1920x1080,Inked Gaming Custom Mousepad,Wooting 60HE+,Logitech G Pro X Headset,Logitech G x Herman Miller Embody
,Content Creator,Unknown,Razer Viper V2 Pro Black,400,11.5%,11.5%,50.0%,50.0%,Alienware AW2518H,1920x1080,SteelSeries QcK XXL,,beyerdynamic DT 1990 PRO,noblechairs EPIC
,Content Creator,Ceice,ZOWIE EC1-CW,800,8.0%,8.0%,20.0%,20.0%,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Mid,SteelSeries Apex Pro TKL,Sennheiser GAME ONE,
,Content Creator,DiegoGB,Glorious Model O,800,12.0%,12.0%,50.0%,49%,Alienware AW2518H,1920x1080,Glorious XXL,Wooting 80HE Black,Logitech G Pro X Headset,
,Content Creator,MarkiLokuras,Logitech G Pro X Superlight Black,1150,12%,12%,63.6%,55.8%,ZOWIE XL2546,1920x1080,,Wooting 80HE Black,Logitech G Pro X Wireless Headset,Secretlab Titan EVO 2022
,Content Creator,RazorX,,,,,,,ASUS VG248QE,,,Wooting 60HE+,HyperX Cloud II,
,Content Creator,premfn,Logitech G Pro X Superlight 2 Black,800,5.7%,5.7%,48.7%,48.1%,ASUS TUF VG279QM,1920x1080,Artisan Ninja FX Zero Soft Black,SteelSeries Apex Pro Mini Black,HyperX Cloud III,
,Content Creator,AyarBaffo,,,,,,,Acer Predator X25,1920x1080,,Wooting 80HE Black,,DXRacer Formula
,Content Creator,MOTOR,Razer Viper V3 Pro Black,800,8.0%,8.0%,100.0%,100.0%,ASUS VG248QE,1920x1080,,Wooting 80HE Black,HyperX Cloud II,Secretlab Titan EVO 2022
,Content Creator,Teeqzy,WLMouse BEAST X Mini Black,400,12.0%,12.0%,50.0%,49%,ZOWIE XL2546,1920x1080,SteelSeries QcK Heavy,Wooting 60HE+,HyperX Cloud II,DXRacer Prince
,Content Creator,Zemie,Logitech G Pro X Superlight Black,800,5.5%,5.5%,32.6%,42.6%,Alienware AW2521HF,1920x1080,Glorious 3XL,Kraken Pro 60,HyperX Cloud II,MAVIX M4
,Content Creator,SypherPK,Razer Viper V3 Pro Black,400,16.0%,16.0%,40.0%,40.0%,Alienware AW2518H,1920x1080,ROCCAT Taito Control,Razer Huntsman V3 Pro Mini Black,JBL Quantum One,Logitech G x Herman Miller Embody
,Content Creator,Nick Eh 30,Razer Viper Mini,2000,10.0%,5.0%,30.0%,50.0%,Alienware AW2720HF,1920x1080,Custom Mousepad,Razer Huntsman TE,beyerdynamic DT 990 Pro,Herman Miller Aeron
,Content Creator,Martoz,Logitech G Pro Wireless,800,6.4%,6.4%,45.0%,45.0%,ZOWIE XL2566K,1720x1080,Artisan Ninja FX Zero Soft Black,Razer Huntsman V3 Pro TKL Black,SteelSeries Arctis Pro Wireless,
,Content Creator,Fresh,FinalMouse Air58 Ninja CBR,800,6.0%,6.0%,75.0%,75.0%,Alienware AW2521H,1920x1080,Glorious 3XL,SteelSeries Apex Pro Mini Black,beyerdynamic DT 1990 PRO,Herman Miller Aeron
,Content Creator,POW3R,VAXEE ZYGEN NP-01,400,11.6%,11.6%,70.0%,70.0%,ASUS ROG SWIFT PG258Q,1920x1080,Fnatic DASH,Fnatic miniSTREAK,Sennheiser HD800 S,
,Content Creator,Jacob,SteelSeries Aerox 5 Wireless,800,8.7%,8.7%,52.5%,52.5%,ASUS ROG SWIFT PG259QN,1920x1080,SteelSeries QcK+,SteelSeries Apex Pro TKL Wireless (2023),SteelSeries Arctis Nova Pro Wireless,
,Content Creator,Raider464,Finalmouse Ultralight 2,400,16.0%,16.0%,50.0%,50.0%,GIGABYTE AORUS KD25F,1920x1080,Logitech G840,SteelSeries Apex Pro TKL,,
,Content Creator,Mongraal,Logitech G402,800,6.7%,6.7%,50.0%,50.0%,ASUS PG248QP,1920x1080,Glorious 3XL,SteelSeries Apex Pro TKL,beyerdynamic DT 1990 PRO,Herman Miller Aeron
,Content Creator,Sommerset,Logitech G Pro X Superlight 2 Black,800,6.4%,6.4%,45.9%,50.1%,AlienWare AW2518HF,1920x1080,4114 Fragment Aero,Razer Huntsman V3 Pro Mini Black,HyperX Cloud Alpha,MAVIX M9
,Content Creator,Jarvis,,,,,,,Alienware AW2518H,1920x1080,,,SteelSeries Arctis 5,
,Content Creator,Myth,Logitech G703,700,3.1%,3.1%,28.5%,23.9%,ASUS ROG SWIFT PG258Q,1920x1080,Logitech G840,Logitech G Pro X Keyboard,beyerdynamic DT 990 Pro,
,Content Creator,HaloBT,Logitech G502 HERO,200,17.0%,17.0%,40.0%,40.0%,ViewSonic XG2560,1920x1080,,Razer Huntsman V2,beyerdynamic DT 990 Pro,
,Content Creator,Wraxx,Logitech G Pro Wireless,800,8.0%,8.0%,25.0%,25.0%,Samsung C24RG54FQU,1920x1080,Custom Mousepad,Wooting 80HE Ghost,beyerdynamic DT 990 Pro,
,Content Creator,MrSavage,Logitech G Pro X Superlight 2 Black,800,9.1%,9.1%,49.0%,49.0%,ASUS PG248QP,1920x1080,GameSense Radar Benjyfishy,SteelSeries Apex Pro Mini Black,beyerdynamic MMX 300,Secretlab Titan
,Content Creator,Ninja,Logitech G Pro Wireless,800,5.5%,5.5%,28.5%,28.5%,Alienware AW2518H,2560x1440,HyperX Fury S Pro,SteelSeries Apex Pro TKL,beyerdynamic DT 1990 PRO,
,Retired,Riversan,Logitech G Pro Wireless,800,6.5%,6.5%,50.0%,50.0%,Alienware AW2518H,1920x1080,Inked Gaming Custom Mousepad,SteelSeries Apex Pro TKL,Logitech G Pro X Headset,Secretlab Titan EVO 2022
,Retired,Dubs,FinalMouse Air58 Ninja CBB,800,6.0%,6.0%,100.0%,100.0%,Alienware AW2518H,1920x1080,Glorious 3XL,SteelSeries Apex Pro TKL,Victrix Pro AF,
,Retired,nyhrox,Razer Viper V3 Pro Black,800,6.0%,6.0%,37.5%,37.5%,Alienware AW2518H,1811x1080,Razer Gigantus V2 XXL,Razer Huntsman V3 Pro,Razer BlackShark V2 Pro Black,Secretlab Titan EVO 2022
